,authors,genbankAccession,gisaidEpiIsl,originatingLab,sraAccession,strain,submittingLab,lineage
1438,,,EPI_ISL_11418692,,,hCoV-19/England/QEUH-3B7B3F4/2022,,ba_2
1439,,,EPI_ISL_12225417,,,hCoV-19/Scotland/SCOT-9542/2022,,ba_2
1440,,,EPI_ISL_12255307,,,hCoV-19/Northern Ireland/NIRE-01c568/2022,,ba_2
1441,,,EPI_ISL_10482047,,,hCoV-19/Scotland/QEUH-3707E1E/2022,,ba_2
1442,,,EPI_ISL_13712505,,,hCoV-19/England/QEUH-3D1B093/2022,,ba_2
1443,,,EPI_ISL_11731671,,,hCoV-19/England/LSPA-3CB0644/2022,,ba_2
1444,,,EPI_ISL_12068020,,,hCoV-19/England/LSPA-3D2ADB8/2022,,ba_2
1445,,,EPI_ISL_16351582,,,hCoV-19/England/PHEC-YY8WYOX/2022,,ba_2
1446,,,EPI_ISL_11152131,,,hCoV-19/England/LSPA-3A3DD00/2022,,ba_2
1447,,,EPI_ISL_12102722,,,hCoV-19/England/PHEC-YYRCIUE/2022,,ba_2
1448,,,EPI_ISL_10419889,,,hCoV-19/England/MILK-37AD014/2022,,ba_2
1449,,,EPI_ISL_12066537,,,hCoV-19/England/LSPA-3D3A377/2022,,ba_2
1450,,,EPI_ISL_11042222,,,hCoV-19/Scotland/QEUH-3990E90/2022,,ba_2
1451,,,EPI_ISL_10979068,,,hCoV-19/England/MILK-393A733/2022,,ba_2
1452,,,EPI_ISL_11127120,,,hCoV-19/England/PLYM-39FA81E/2022,,ba_2
1453,,,EPI_ISL_10550742,,,hCoV-19/England/LSPA-376669D/2022,,ba_2
1454,,,EPI_ISL_12553571,,,hCoV-19/England/QEUH-3D5E814/2022,,ba_2
1455,,,EPI_ISL_12032106,,,hCoV-19/Wales/PHWC-PJWFK5/2022,,ba_2
1456,,,EPI_ISL_10627304,,,hCoV-19/England/DHSC-CYBFTZJ/2022,,ba_2
1457,,,EPI_ISL_16829653,,,hCoV-19/Scotland/SCOT-24262/2023,,ba_2
1458,,,EPI_ISL_15469176,,,hCoV-19/England/QEUH-325ACD6B/2022,,ba_2
1459,,,EPI_ISL_11091564,,,hCoV-19/England/MILK-39BD2BF/2022,,ba_2
1460,,,EPI_ISL_13904078,,,hCoV-19/Scotland/QEUH-3ECECB8/2022,,ba_2
1461,,,EPI_ISL_11459674,,,hCoV-19/Northern Ireland/NIRE-01adcd/2022,,ba_2
1462,,,EPI_ISL_11787672,,,hCoV-19/England/PHEC-YYDAN1F/2022,,ba_2
1463,,,EPI_ISL_11551623,,,hCoV-19/Scotland/QEUH-3BF28BA/2022,,ba_2
1464,,,EPI_ISL_10245833,,,hCoV-19/England/MILK-372EDAB/2022,,ba_2
1465,,,EPI_ISL_12216184,,,hCoV-19/Scotland/CVR15714/2022,,ba_2
1466,,,EPI_ISL_11416728,,,hCoV-19/England/PLYM-3B83881/2022,,ba_2
1467,,,EPI_ISL_10524468,,,hCoV-19/England/MILK-3840319/2022,,ba_2
1468,,,EPI_ISL_15741087,,,hCoV-19/Northern Ireland/NIRE-01f43c/2022,,ba_2
1469,,,EPI_ISL_16829845,,,hCoV-19/Scotland/SCOT-24460/2023,,ba_2
1470,,,EPI_ISL_10578832,,,hCoV-19/Northern Ireland/NIRE-01a012/2022,,ba_2
1471,,,EPI_ISL_11047216,,,hCoV-19/Scotland/QEUH-3966CB7/2022,,ba_2
1472,,,EPI_ISL_11508596,,,hCoV-19/England/MILK-3BF03AC/2022,,ba_2
1473,,,EPI_ISL_10798915,,,hCoV-19/England/LSPA-38C1231/2022,,ba_2
1474,,,EPI_ISL_13208775,,,hCoV-19/England/LSPA-3E406FC/2022,,ba_2
1475,,,EPI_ISL_10106441,,,hCoV-19/England/MILK-36C959C/2022,,ba_2
1476,,,EPI_ISL_12123738,,,hCoV-19/Scotland/QEUH-3D455BF/2022,,ba_2
1477,,,EPI_ISL_13797878,,,hCoV-19/Scotland/EDB64369/2022,,ba_2
1478,,,EPI_ISL_12552907,,,hCoV-19/England/QEUH-3D64365/2022,,ba_2
1479,,,EPI_ISL_10885493,,,hCoV-19/England/MILK-38F69B6/2022,,ba_2
1480,,,EPI_ISL_11430882,,,hCoV-19/England/LSPA-3B94D15/2022,,ba_2
1481,,,EPI_ISL_11035931,,,hCoV-19/Scotland/QEUH-39710CC/2022,,ba_2
1482,,,EPI_ISL_12552662,,,hCoV-19/England/QEUH-3D6A5F0/2022,,ba_2
1483,,,EPI_ISL_10572905,,,hCoV-19/Scotland/QEUH-38522AE/2022,,ba_2
1484,,,EPI_ISL_12553465,,,hCoV-19/England/QEUH-3D5E674/2022,,ba_2
1485,,,EPI_ISL_12042943,,,hCoV-19/Scotland/EDB53015/2022,,ba_2
1486,,,EPI_ISL_12560227,,,hCoV-19/England/PHEC-YYR98AF/2022,,ba_2
1487,,,EPI_ISL_11726580,,,hCoV-19/England/LSPA-3CB53B1/2022,,ba_2
1488,,,EPI_ISL_10933066,,,hCoV-19/England/MILK-39264E8/2022,,ba_2
1489,,,EPI_ISL_12810600,,,hCoV-19/Northern Ireland/NIRE-01ce63/2022,,ba_2
1490,,,EPI_ISL_12107963,,,hCoV-19/Wales/PHWC-PJI6M6/2022,,ba_2
1491,,,EPI_ISL_11703226,,,hCoV-19/England/QEUH-3C8D0BB/2022,,ba_2
1492,,,EPI_ISL_11400258,,,hCoV-19/Scotland/QEUH-3B11A91/2022,,ba_2
1493,,,EPI_ISL_11185158,,,hCoV-19/England/ALDP-3A6F840/2022,,ba_2
1494,,,EPI_ISL_13535807,,,hCoV-19/Wales/PHWC-PJ7E79/2022,,ba_2
1495,,,EPI_ISL_10725184,,,hCoV-19/England/MILK-38AAF64/2022,,ba_2
1496,,,EPI_ISL_10412697,,,hCoV-19/England/LSPA-37DA45E/2022,,ba_2
1497,,,EPI_ISL_12287393,,,hCoV-19/England/PHEC-YYRSOS1/2022,,ba_2
1498,,,EPI_ISL_10987032,,,hCoV-19/England/MILK-39B53F0/2022,,ba_2
1499,,,EPI_ISL_10670166,,,hCoV-19/England/DHSC-CYDPHEM/2022,,ba_2
1500,,,EPI_ISL_12122657,,,hCoV-19/England/LSPA-3D5959A/2022,,ba_3
1501,,,EPI_ISL_11658979,,,hCoV-19/England/PHEP-YYRO7ST/2022,,ba_3
1502,,,EPI_ISL_11227246,,,hCoV-19/Wales/PHWC-PE6MZ8/2022,,ba_3
1503,,,EPI_ISL_10726003,,,hCoV-19/England/MILK-38A76BD/2022,,ba_3
1504,,,EPI_ISL_10264232,,,hCoV-19/Wales/PHWC-PEGST3/2022,,ba_3
1505,,,EPI_ISL_9825026,,,hCoV-19/England/LSPA-356A4A0/2022,,ba_3
1506,,,EPI_ISL_10577314,,,hCoV-19/England/DHSC-CYDHJ44/2022,,ba_3
1507,,,EPI_ISL_10327378,,,hCoV-19/England/PHEC-5U0BCZD1/2022,,ba_3
1508,,,EPI_ISL_10485203,,,hCoV-19/England/QEUH-371101B/2022,,ba_3
1509,,,EPI_ISL_8240936,,,hCoV-19/England/MILK-2FB45BC/2021,,ba_3
1510,,,EPI_ISL_8489756,,,hCoV-19/England/MILK-30BE2A8/2022,,ba_3
1511,,,EPI_ISL_8202960,,,hCoV-19/England/LSPA-2F5E736/2021,,ba_3
1512,,,EPI_ISL_10179331,,,hCoV-19/Northern Ireland/NIRE-01971f/2022,,ba_3
1513,,,EPI_ISL_12105427,,,hCoV-19/England/PHEC-YYRMHYK/2022,,ba_3
1514,,,EPI_ISL_11562275,,,hCoV-19/Wales/PHWC-PJGJF6/2022,,ba_3
1515,,,EPI_ISL_10121277,,,hCoV-19/England/LSPA-36EF518/2022,,ba_3
1516,,,EPI_ISL_11433123,,,hCoV-19/England/BRBR-3B9B1B8/2022,,ba_3
1517,,,EPI_ISL_8572805,,,hCoV-19/England/MILK-311B114/2022,,ba_3
1518,,,EPI_ISL_11129976,,,hCoV-19/England/MILK-3A0D343/2022,,ba_3
1519,,,EPI_ISL_12480871,,,hCoV-19/Scotland/QEUH-3DC5292/2022,,ba_3
1520,,,EPI_ISL_12570667,,,hCoV-19/Scotland/QEUH-3DEBF26/2022,,ba_3
1521,,,EPI_ISL_9745511,,,hCoV-19/Wales/PHWC-P8IOAU/2022,,ba_3
1522,,,EPI_ISL_11688390,,,hCoV-19/England/LSPA-3C7B171/2022,,ba_3
1523,,,EPI_ISL_10725727,,,hCoV-19/England/LSPA-38A6320/2022,,ba_3
1524,,,EPI_ISL_11950571,,,hCoV-19/England/DHSC-CYYBNQW/2022,,ba_3
1525,,,EPI_ISL_10452965,,,hCoV-19/England/DHSC-CYN3E4N/2021,,ba_3
1526,,,EPI_ISL_11280002,,,hCoV-19/England/MILK-3AD2954/2022,,ba_3
1527,,,EPI_ISL_9996088,,,hCoV-19/Scotland/QEUH-36491AF/2022,,ba_3
1528,,,EPI_ISL_11227296,,,hCoV-19/Wales/PHWC-PE6PYW/2022,,ba_3
1529,,,EPI_ISL_7526186,,,hCoV-19/England/MILK-2D24AC9/2021,,ba_3
1530,,,EPI_ISL_10742537,,,hCoV-19/England/DHSC-CYBHDBI/2022,,ba_3
1531,,,EPI_ISL_10628184,,,hCoV-19/England/DHSC-CYDWHTJ/2022,,ba_3
1532,,,EPI_ISL_10725985,,,hCoV-19/England/MILK-38A76DB/2022,,ba_3
1533,,,EPI_ISL_8341001,,,hCoV-19/England/MILK-302BEEE/2021,,ba_3
1534,,,EPI_ISL_9449386,,,hCoV-19/England/PHEC-4V06FZ19/2022,,ba_3
1535,,,EPI_ISL_11688379,,,hCoV-19/England/LSPA-3C7B40F/2022,,ba_3
1536,,,EPI_ISL_9296174,,,hCoV-19/England/MILK-33CC12F/2022,,ba_3
1537,,,EPI_ISL_7993016,,,hCoV-19/England/LSPA-2EBDE13/2021,,ba_3
1538,,,EPI_ISL_10242579,,,hCoV-19/England/MILK-373955A/2022,,ba_3
1539,,,EPI_ISL_10737121,,,hCoV-19/England/MILK-38AB2B5/2022,,ba_3
1540,,,EPI_ISL_11185528,,,hCoV-19/England/BRBR-3A7580B/2022,,ba_3
1541,,,EPI_ISL_9989592,,,hCoV-19/England/MILK-367CA02/2022,,ba_3
1542,,,EPI_ISL_9835029,,,hCoV-19/England/NORW-31672A3/2022,,ba_3
1543,,,EPI_ISL_10264361,,,hCoV-19/Wales/PHWC-PEGYBO/2022,,ba_3
1544,,,EPI_ISL_10473793,,,hCoV-19/England/QEUH-3710173/2022,,ba_3
1545,,,EPI_ISL_11196170,,,hCoV-19/England/BRBR-3A80FBD/2022,,ba_3
1546,,,EPI_ISL_8041750,,,hCoV-19/England/MILK-2F0C315/2021,,ba_3
1547,,,EPI_ISL_10848444,,,hCoV-19/England/DHSC-CYB9UMM/2022,,ba_3
1548,,,EPI_ISL_11196326,,,hCoV-19/England/BRBR-3A8115C/2022,,ba_3
1549,,,EPI_ISL_10997798,,,hCoV-19/Northern Ireland/NIRE-01a7db/2022,,ba_3
1550,,,EPI_ISL_9317710,,,hCoV-19/England/MILK-33F4522/2022,,ba_3
1551,,,EPI_ISL_10265227,,,hCoV-19/Wales/PHWC-PERNKY/2022,,ba_3
1552,,,EPI_ISL_14022709,,,hCoV-19/Scotland/EDB66655/2022,,ba_4
1553,,,EPI_ISL_13988147,,,hCoV-19/England/PHEC-YYGYSCC/2022,,ba_4
1554,,,EPI_ISL_13617588,,,hCoV-19/Scotland/SCOT-13885/2022,,ba_4
1555,,,EPI_ISL_13987755,,,hCoV-19/England/PHEC-YYGYAXR/2022,,ba_4
1556,,,EPI_ISL_13616581,,,hCoV-19/England/PHEP-YYFDNAN/2022,,ba_4
1557,,,EPI_ISL_13358948,,,hCoV-19/England/LSPA-3E59450/2022,,ba_4
1558,,,EPI_ISL_14022736,,,hCoV-19/Scotland/EDB66750/2022,,ba_4
1559,,,EPI_ISL_13875278,,,hCoV-19/England/QEUH-3ED107A/2022,,ba_4
1560,,,EPI_ISL_15211786,,,hCoV-19/England/PHEC-YYGH1UE/2022,,ba_4
1561,,,EPI_ISL_14066697,,,hCoV-19/England/PHEP-YYFPKRX/2022,,ba_4
1562,,,EPI_ISL_14019901,,,hCoV-19/England/QEUH-3EF141E/2022,,ba_4
1563,,,EPI_ISL_15883021,,,hCoV-19/Scotland/SCOT-20569/2022,,ba_4
1564,,,EPI_ISL_13048166,,,hCoV-19/England/LSPA-3E31719/2022,,ba_4
1565,,,EPI_ISL_13742282,,,hCoV-19/England/PHEC-YYFZMJX/2022,,ba_4
1566,,,EPI_ISL_13742918,,,hCoV-19/England/PHEP-YYF8XFW/2022,,ba_4
1567,,,EPI_ISL_14164412,,,hCoV-19/England/LSPA-3F1893F/2022,,ba_4
1568,,,EPI_ISL_13634350,,,hCoV-19/England/LSPA-3E953F1/2022,,ba_4
1569,,,EPI_ISL_13616018,,,hCoV-19/England/PHEC-YYFWCR6/2022,,ba_4
1570,,,EPI_ISL_15454123,,,hCoV-19/England/PHEP-YYF4GNH/2022,,ba_4
1571,,,EPI_ISL_13242566,,,hCoV-19/England/LSPA-3E4709D/2022,,ba_4
1572,,,EPI_ISL_14571468,,,hCoV-19/England/LOND-12949E3/2022,,ba_4
1573,,,EPI_ISL_14718564,,,hCoV-19/Scotland/QEUH-3F710C6/2022,,ba_4
1574,,,EPI_ISL_14543123,,,hCoV-19/England/LSPA-3F5FE00/2022,,ba_4
1575,,,EPI_ISL_14572816,,,hCoV-19/Wales/PHWC-PKN3FI/2022,,ba_4
1576,,,EPI_ISL_13442104,,,hCoV-19/Scotland/LSPA-3E6216C/2022,,ba_4
1577,,,EPI_ISL_14143690,,,hCoV-19/Wales/PHWC-PKY15U/2022,,ba_4
1578,,,EPI_ISL_14235202,,,hCoV-19/Wales/PHWC-PKBADH/2022,,ba_4
1579,,,EPI_ISL_13634367,,,hCoV-19/England/LSPA-3E96527/2022,,ba_4
1580,,,EPI_ISL_14142827,,,hCoV-19/England/PHEC-YYGF8QP/2022,,ba_4
1581,,,EPI_ISL_14618794,,,hCoV-19/England/QEUH-3F6455E/2022,,ba_4
1582,,,EPI_ISL_14301129,,,hCoV-19/England/PHEC-YYGPAJS/2022,,ba_4
1583,,,EPI_ISL_15580356,,,hCoV-19/England/PHEC-YY8G8JW/2022,,ba_4
1584,,,EPI_ISL_13694744,,,hCoV-19/Scotland/SCOT-14248/2022,,ba_4
1585,,,EPI_ISL_13420636,,,hCoV-19/England/QEUH-3E60A81/2022,,ba_4
1586,,,EPI_ISL_14065276,,,hCoV-19/England/LSPA-3EF96E3/2022,,ba_4
1587,,,EPI_ISL_14196841,,,hCoV-19/England/PHEC-YYGEOPY/2022,,ba_4
1588,,,EPI_ISL_14471646,,,hCoV-19/England/PHEC-YYG1KMI/2022,,ba_4
1589,,,EPI_ISL_15153742,,,hCoV-19/Scotland/LSPA-325775DA/2022,,ba_4
1590,,,EPI_ISL_13499995,,,hCoV-19/England/PHEC-YYF1EBC/2022,,ba_4
1591,,,EPI_ISL_14065754,,,hCoV-19/Scotland/PLYM-3EF64FB/2022,,ba_4
1592,,,EPI_ISL_14321205,,,hCoV-19/England/QEUH-3F460CA/2022,,ba_4
1593,,,EPI_ISL_14910962,,,hCoV-19/England/LSPA-3F86E4C/2022,,ba_4
1594,,,EPI_ISL_14618855,,,hCoV-19/England/QEUH-3F62383/2022,,ba_4
1595,,,EPI_ISL_13880608,,,hCoV-19/England/PHEC-YYF5UZN/2022,,ba_4
1596,,,EPI_ISL_14025641,,,hCoV-19/Scotland/SCOT-15496/2022,,ba_4
1597,,,EPI_ISL_13772063,,,hCoV-19/England/PHEC-YYFAQSX/2022,,ba_4
1598,,,EPI_ISL_13635338,,,hCoV-19/Scotland/LSPA-3E8BA80/2022,,ba_4
1599,,,EPI_ISL_13968083,,,hCoV-19/England/QEUH-3EE5073/2022,,ba_4
1600,,,EPI_ISL_15110774,,,hCoV-19/Wales/PHWC-PKRYDQ/2022,,ba_4
1601,,,EPI_ISL_13903545,,,hCoV-19/England/QEUH-3EDF847/2022,,ba_4
1602,,,EPI_ISL_14354387,,,hCoV-19/Scotland/SCOT-15298/2022,,ba_4
1603,,,EPI_ISL_13359843,,,hCoV-19/England/QEUH-3E562D1/2022,,ba_4
1604,,,EPI_ISL_14089923,,,hCoV-19/England/PHEC-YYGD7OS/2022,,ba_4
1605,,,EPI_ISL_15010548,,,hCoV-19/England/PLYM-15203FA4/2022,,ba_4
1606,,,EPI_ISL_13311769,,,hCoV-19/England/QEUH-3E497C3/2022,,ba_4
1607,,,EPI_ISL_15209357,,,hCoV-19/England/LSPA-3257F39C/2022,,ba_4
1608,,,EPI_ISL_14066728,,,hCoV-19/England/PHEP-YYFPOEB/2022,,ba_4
1609,,,EPI_ISL_14025128,,,hCoV-19/England/PHEP-YYFCWK5/2022,,ba_4
1610,,,EPI_ISL_14066839,,,hCoV-19/England/PHEP-YYFPQIE/2022,,ba_4
1611,,,EPI_ISL_13516771,,,hCoV-19/England/QEUH-3E74B78/2022,,ba_4
1612,,,EPI_ISL_13656861,,,hCoV-19/England/QEUH-3E9FE7E/2022,,ba_4
1613,,,EPI_ISL_13953260,,,hCoV-19/Wales/PHWC-PJ9GYA/2022,,ba_4
1614,,,EPI_ISL_13768417,,,hCoV-19/England/LSPA-3EC2382/2022,,ba_4
1615,,,EPI_ISL_15192284,,,hCoV-19/England/PHEC-YYGHYWA/2022,,ba_4
1616,,,EPI_ISL_14651010,,,hCoV-19/England/PHEC-YYGIG7Q/2022,,ba_4
1617,,,EPI_ISL_13359035,,,hCoV-19/England/LSPA-3E58AE6/2022,,ba_4
1618,,,EPI_ISL_15168405,,,hCoV-19/England/LSPA-3F879A4/2022,,ba_4
1619,,,EPI_ISL_13361309,,,hCoV-19/England/PHEC-YYFQ37M/2022,,ba_4
1620,,,EPI_ISL_14065965,,,hCoV-19/England/QEUH-3EF69FC/2022,,ba_4
1621,,,EPI_ISL_14065939,,,hCoV-19/Scotland/PLYM-3EF6C4E/2022,,ba_4
1622,,,EPI_ISL_13338875,,,hCoV-19/England/QEUH-3E5119D/2022,,ba_4
1623,,,EPI_ISL_13536000,,,hCoV-19/Scotland/SCOT-13496/2022,,ba_4
1624,,,EPI_ISL_14144018,,,hCoV-19/Wales/PHWC-PKYQ43/2022,,ba_4
1625,,,EPI_ISL_14041268,,,hCoV-19/England/LSPA-3ED5DD9/2022,,ba_4
1626,,,EPI_ISL_13359644,,,hCoV-19/England/LSPA-3E57EFA/2022,,ba_4
1627,,,EPI_ISL_13352434,,,hCoV-19/England/QEUH-3E53BAC/2022,,ba_4
1628,,,EPI_ISL_15020950,,,hCoV-19/England/PHEC-YYG4GXB/2022,,ba_4
1629,,,EPI_ISL_15896585,,,hCoV-19/Wales/PHWC-PK8MON/2022,,ba_4
1630,,,EPI_ISL_13904029,,,hCoV-19/England/QEUH-3EDBCD6/2022,,ba_4
1631,,,EPI_ISL_14143700,,,hCoV-19/Wales/PHWC-PKY1JA/2022,,ba_4
1632,,,EPI_ISL_13743283,,,hCoV-19/Scotland/SCOT-14505/2022,,ba_4
1633,,,EPI_ISL_15056420,,,hCoV-19/England/PHEP-YYFIC19/2022,,ba_4
1634,,,EPI_ISL_14172588,,,hCoV-19/England/PHEC-YYGFH8G/2022,,ba_4
1635,,,EPI_ISL_13694306,,,hCoV-19/England/PHEC-YYFIP9R/2022,,ba_4
1636,,,EPI_ISL_14324122,,,hCoV-19/England/PHEC-YYGXSES/2022,,ba_4
1637,,,EPI_ISL_14144120,,,hCoV-19/Wales/PHWC-PKYUSH/2022,,ba_4
1638,,,EPI_ISL_13694686,,,hCoV-19/Scotland/SCOT-14183/2022,,ba_4
1639,,,EPI_ISL_13498956,,,hCoV-19/England/LSPA-3E7A626/2022,,ba_4
1640,,,EPI_ISL_13881961,,,hCoV-19/England/PHEP-YYFJ74Z/2022,,ba_4
1641,,,EPI_ISL_13656802,,,hCoV-19/England/QEUH-3EA00ED/2022,,ba_4
1642,,,EPI_ISL_15110174,,,hCoV-19/England/PHEC-YYG5E5R/2022,,ba_4
1643,,,EPI_ISL_14193980,,,hCoV-19/England/LSPA-3F20354/2022,,ba_4
1644,,,EPI_ISL_13768623,,,hCoV-19/England/QEUH-3EBAEAA/2022,,ba_4
1645,,,EPI_ISL_15303710,,,hCoV-19/England/PHEC-YYG9JXW/2022,,ba_4
1646,,,EPI_ISL_14043304,,,hCoV-19/England/LSPA-3EC3CE0/2022,,ba_4
1647,,,EPI_ISL_13361712,,,hCoV-19/England/PHEC-YYFQWG9/2022,,ba_4
1648,,,EPI_ISL_13743271,,,hCoV-19/Scotland/SCOT-14491/2022,,ba_4
1649,,,EPI_ISL_14587924,,,hCoV-19/England/PHEC-YYGWSUW/2022,,ba_4
1650,,,EPI_ISL_13903891,,,hCoV-19/England/QEUH-3EDC9FC/2022,,ba_4
1651,,,EPI_ISL_13048114,,,hCoV-19/England/LSPA-3E31421/2022,,ba_4
1652,,,EPI_ISL_13880750,,,hCoV-19/England/PHEC-YYF6KP4/2022,,ba_4
1653,,,EPI_ISL_15301938,,,hCoV-19/England/QEUH-3258CA88/2022,,ba_4
1654,,,EPI_ISL_15495245,,,hCoV-19/England/PHEP-YYF5N9D/2022,,ba_4
1655,,,EPI_ISL_13617164,,,hCoV-19/Wales/PHWC-PJ7SP1/2022,,ba_4
1656,,,EPI_ISL_14444019,,,hCoV-19/Scotland/LSPA-3F501D9/2022,,ba_4
1657,,,EPI_ISL_14810503,,,hCoV-19/England/LSPA-3F7B2B7/2022,,ba_4
1658,,,EPI_ISL_15403231,,,hCoV-19/England/LSPA-325A2AAA/2022,,ba_4
1659,,,EPI_ISL_13656512,,,hCoV-19/England/LSPA-3EA857D/2022,,ba_4
1660,,,EPI_ISL_13741770,,,hCoV-19/England/PHEC-YYFSM3O/2022,,ba_4
1661,,,EPI_ISL_14969696,,,hCoV-19/England/PLYM-3F92205/2022,,ba_4
1662,,,EPI_ISL_13906417,,,hCoV-19/England/PHEC-YYF9BO4/2022,,ba_4
1663,,,EPI_ISL_14351805,,,hCoV-19/England/LSPA-3F4C2BF/2022,,ba_4
1664,,,EPI_ISL_14022489,,,hCoV-19/Scotland/EDB66037/2022,,ba_4
1665,,,EPI_ISL_14019743,,,hCoV-19/England/QEUH-3EEFD18/2022,,ba_4
1666,,,EPI_ISL_13362080,,,hCoV-19/England/PHEP-YYFYIES/2022,,ba_4
1667,,,EPI_ISL_13634567,,,hCoV-19/England/QEUH-3E99393/2022,,ba_4
1668,,,EPI_ISL_13844273,,,hCoV-19/England/QEUH-3ECC212/2022,,ba_4
1669,,,EPI_ISL_14567945,,,hCoV-19/England/LSPA-3F5E742/2022,,ba_4
1670,,,EPI_ISL_13875281,,,hCoV-19/England/QEUH-3ED1432/2022,,ba_4
1671,,,EPI_ISL_13277456,,,hCoV-19/Scotland/LSPA-3E471A9/2022,,ba_4
1672,,,EPI_ISL_14193864,,,hCoV-19/England/LSPA-3F206D3/2022,,ba_4
1673,,,EPI_ISL_15021239,,,hCoV-19/England/PHEP-YYFI1PR/2022,,ba_4
1674,,,EPI_ISL_13771825,,,hCoV-19/England/PHEC-YYF3B5O/2022,,ba_4
1675,,,EPI_ISL_13741961,,,hCoV-19/England/PHEC-YYFZ8U6/2022,,ba_4
1676,,,EPI_ISL_13572561,,,hCoV-19/England/PHEC-YYFUMUN/2022,,ba_4
1677,,,EPI_ISL_13500021,,,hCoV-19/England/PHEC-YYF1FDM/2022,,ba_4
1678,,,EPI_ISL_15347781,,,hCoV-19/Scotland/EDB71948/2022,,ba_4
1679,,,EPI_ISL_13420989,,,hCoV-19/Scotland/QEUH-3E5F6FA/2022,,ba_4
1680,,,EPI_ISL_13616179,,,hCoV-19/England/PHEC-YYFWKCO/2022,,ba_4
1681,,,EPI_ISL_14618288,,,hCoV-19/Wales/PHWC-PKN5WW/2022,,ba_4
1682,,,EPI_ISL_15539521,,,hCoV-19/England/QEUH-325C15C2/2022,,ba_4
1683,,,EPI_ISL_14257220,,,hCoV-19/England/LSPA-3F2B948/2022,,ba_4
1684,,,EPI_ISL_13515772,,,hCoV-19/England/LSPA-3E7D32C/2022,,ba_4
1685,,,EPI_ISL_13715626,,,hCoV-19/England/PHEC-YYFSP9N/2022,,ba_4
1686,,,EPI_ISL_13716654,,,hCoV-19/Wales/PHWC-PJ7HPC/2022,,ba_4
1687,,,EPI_ISL_14296235,,,hCoV-19/England/QEUH-3F3D4CA/2022,,ba_4
1688,,,EPI_ISL_13881203,,,hCoV-19/England/PHEC-YYFH7R7/2022,,ba_4
1689,,,EPI_ISL_13969387,,,hCoV-19/England/PHEC-YYGYBDU/2022,,ba_4
1690,,,EPI_ISL_12694220,,,hCoV-19/England/LSPA-3E03640/2022,,ba_4
1691,,,EPI_ISL_14300289,,,hCoV-19/England/PHEC-YYGM9PM/2022,,ba_4
1692,,,EPI_ISL_13604253,,,hCoV-19/England/QEUH-3E81E51/2022,,ba_4
1693,,,EPI_ISL_14173035,,,hCoV-19/England/PHEP-YYFQH7E/2022,,ba_4
1694,,,EPI_ISL_14604597,,,hCoV-19/Scotland/EDB69827/2022,,ba_4
1695,,,EPI_ISL_13635423,,,hCoV-19/Wales/LSPA-3E7EE66/2022,,ba_4
1696,,,EPI_ISL_14164595,,,hCoV-19/England/QEUH-3F0C813/2022,,ba_4
1697,,,EPI_ISL_14618511,,,hCoV-19/England/QEUH-3F682F9/2022,,ba_4
1698,,,EPI_ISL_15454124,,,hCoV-19/England/PHEP-YYF4GO9/2022,,ba_4
1699,,,EPI_ISL_13157090,,,hCoV-19/Scotland/LSPA-3E3CE37/2022,,ba_4
1700,,,EPI_ISL_13988372,,,hCoV-19/England/PHEP-YYFM67C/2022,,ba_4
1701,,,EPI_ISL_13338819,,,hCoV-19/Scotland/LSPA-3E51E3C/2022,,ba_4
1702,,,EPI_ISL_14572806,,,hCoV-19/England/PHEP-YYFUYM6/2022,,ba_4
1703,,,EPI_ISL_14387680,,,hCoV-19/Scotland/LSPA-3F47ADA/2022,,ba_4
1704,,,EPI_ISL_14066297,,,hCoV-19/England/PHEC-YYGDTEU/2022,,ba_4
1705,,,EPI_ISL_13904321,,,hCoV-19/Scotland/QEUH-3EDAD4D/2022,,ba_4
1706,,,EPI_ISL_14025386,,,hCoV-19/Wales/PHWC-PKY8P5/2022,,ba_4
1707,,,EPI_ISL_13242360,,,hCoV-19/England/LSPA-3E490E6/2022,,ba_4
1708,,,EPI_ISL_13471000,,,hCoV-19/England/LSPA-3E733F9/2022,,ba_4
1709,,,EPI_ISL_13657903,,,hCoV-19/England/PHEP-YYFGETR/2022,,ba_4
1710,,,EPI_ISL_16344344,,,hCoV-19/England/QEUH-3263EF76/2022,,ba_4
1711,,,EPI_ISL_14233048,,,hCoV-19/England/LSPA-3F22F21/2022,,ba_4
1712,,,EPI_ISL_13421174,,,hCoV-19/England/PHEC-YYFOREG/2022,,ba_4
1713,,,EPI_ISL_13398972,,,hCoV-19/England/LSPA-3E5DFB5/2022,,ba_4
1714,,,EPI_ISL_13338316,,,hCoV-19/England/LSPA-3E4BE62/2022,,ba_4
1715,,,EPI_ISL_14606737,,,hCoV-19/Northern Ireland/QEUH-3F53D69/2022,,ba_4
1716,,,EPI_ISL_13498603,,,hCoV-19/England/LSPA-3E7700D/2022,,ba_4
1717,,,EPI_ISL_14089643,,,hCoV-19/Scotland/EDB66702/2022,,ba_4
1718,,,EPI_ISL_15232411,,,hCoV-19/England/PLYM-3258125E/2022,,ba_4
1719,,,EPI_ISL_13106538,,,hCoV-19/England/LSPA-3E3B80D/2022,,ba_4
1720,,,EPI_ISL_14321721,,,hCoV-19/Northern Ireland/QEUH-3F0D117/2022,,ba_4
1721,,,EPI_ISL_14321322,,,hCoV-19/England/LSPA-3F3D3EB/2022,,ba_4
